,Squad,H_MP,H_W,H_D,H_L,H_GF,H_GA,H_GD,H_Pts,H_Pts/MP,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,year,home_team_strength,away_team_strength,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
46,Wolves,19,10,4,5,28,21,7,34,1.79,19,6,5,8,19,25,-6,23,1.21,2018-19,1005.2631578947369,963.1578947368422,1147.3684210526317,889.4736842105262,1100.0,868.421052631579
47,Everton,19,10,4,5,30,21,9,34,1.79,19,5,5,9,24,25,-1,20,1.05,2018-19,1005.2631578947369,952.6315789473684,1157.8947368421052,889.4736842105262,1126.3157894736842,868.421052631579
48,Leicester City,19,8,3,8,24,20,4,27,1.42,19,7,4,8,27,28,-1,25,1.32,2018-19,984.2105263157895,973.6842105263158,1126.3157894736842,894.7368421052631,1142.1052631578948,852.6315789473684
49,West Ham,19,9,4,6,32,27,5,31,1.63,19,6,3,10,20,28,-8,21,1.11,2018-19,994.7368421052633,963.1578947368421,1168.421052631579,857.8947368421052,1105.2631578947369,852.6315789473684
50,Watford,19,8,3,8,26,28,-2,27,1.42,19,6,5,8,26,31,-5,23,1.21,2018-19,984.2105263157895,963.1578947368422,1136.842105263158,852.6315789473684,1136.842105263158,836.8421052631579
51,Crystal Palace,19,5,5,9,19,23,-4,20,1.05,19,9,2,8,32,30,2,29,1.53,2018-19,952.6315789473684,994.7368421052632,1100.0,878.9473684210526,1168.421052631579,842.1052631578948
52,Newcastle Utd,19,8,1,10,24,25,-1,25,1.32,19,4,8,7,18,23,-5,20,1.05,2018-19,984.2105263157895,942.1052631578948,1126.3157894736842,868.421052631579,1094.7368421052631,878.9473684210526
53,Bournemouth,19,8,5,6,30,25,5,29,1.53,19,5,1,13,26,45,-19,16,0.84,2018-19,984.2105263157896,952.6315789473683,1157.8947368421052,868.421052631579,1136.842105263158,763.1578947368421
54,Burnley,19,7,2,10,24,32,-8,23,1.21,19,4,5,10,21,36,-15,17,0.89,2018-19,973.6842105263157,942.1052631578948,1126.3157894736842,831.578947368421,1110.5263157894738,810.5263157894738
55,Southampton,19,5,8,6,27,30,-3,23,1.21,19,4,4,11,18,35,-17,16,0.84,2018-19,952.6315789473684,942.1052631578947,1142.1052631578948,842.1052631578948,1094.7368421052631,815.7894736842105
56,Brighton,19,6,5,8,19,28,-9,23,1.21,19,3,4,12,16,32,-16,13,0.68,2018-19,963.1578947368422,931.578947368421,1100.0,852.6315789473684,1084.2105263157894,831.578947368421
57,Cardiff City,19,6,2,11,21,38,-17,20,1.05,19,4,2,13,13,31,-18,14,0.74,2018-19,963.1578947368421,942.1052631578948,1110.5263157894738,800.0,1068.421052631579,836.8421052631579
58,Fulham,19,6,3,10,22,36,-14,21,1.11,19,1,2,16,12,45,-33,5,0.26,2018-19,963.1578947368421,910.5263157894738,1115.7894736842106,810.5263157894738,1063.157894736842,763.1578947368421
59,Huddersfield,19,2,3,14,10,31,-21,9,0.47,19,1,4,14,12,45,-33,7,0.37,2018-19,921.0526315789473,910.5263157894738,1052.6315789473683,836.8421052631579,1063.157894736842,763.1578947368421
60,Liverpool,19,18,1,0,52,16,36,55,2.89,19,14,2,3,33,17,16,44,2.32,2019-20,1089.4736842105262,1047.3684210526314,1273.6842105263158,915.7894736842105,1173.6842105263158,910.5263157894736
61,Manchester City,19,15,2,2,57,13,44,47,2.47,19,11,1,7,45,22,23,34,1.79,2019-20,1057.8947368421052,1015.7894736842104,1300.0,931.578947368421,1236.842105263158,884.2105263157895
62,Manchester Utd,19,10,7,2,40,17,23,37,1.95,19,8,5,6,26,19,7,29,1.53,2019-20,1005.2631578947368,984.2105263157896,1210.5263157894738,910.5263157894736,1136.842105263158,900.0
63,Chelsea,19,11,3,5,30,16,14,36,1.89,19,9,3,7,39,38,1,30,1.58,2019-20,1015.7894736842104,994.7368421052631,1157.8947368421052,915.7894736842105,1205.2631578947369,800.0
64,Leicester City,19,11,4,4,35,17,18,37,1.95,19,7,4,8,32,24,8,25,1.32,2019-20,1015.7894736842105,973.6842105263158,1184.2105263157896,910.5263157894736,1168.421052631579,873.6842105263158
65,Tottenham,19,12,3,4,36,17,19,39,2.05,19,4,8,7,25,30,-5,20,1.05,2019-20,1026.3157894736842,942.1052631578948,1189.4736842105262,910.5263157894736,1131.578947368421,842.1052631578948
66,Wolves,19,8,7,4,27,19,8,31,1.63,19,7,7,5,24,21,3,28,1.47,2019-20,984.2105263157895,973.6842105263158,1142.1052631578948,900.0,1126.3157894736842,889.4736842105262
67,Arsenal,19,10,6,3,36,24,12,36,1.89,19,4,8,7,20,24,-4,20,1.05,2019-20,1005.2631578947368,942.1052631578948,1189.4736842105262,873.6842105263158,1105.2631578947369,873.6842105263158
68,Sheffield Utd,19,10,3,6,24,15,9,33,1.74,19,4,9,6,15,24,-9,21,1.11,2019-20,1005.2631578947367,942.1052631578948,1126.3157894736842,921.0526315789474,1078.9473684210527,873.6842105263158
69,Burnley,19,8,4,7,24,23,1,28,1.47,19,7,5,7,19,27,-8,26,1.37,2019-20,984.2105263157895,973.6842105263158,1126.3157894736842,878.9473684210526,1100.0,857.8947368421052
