,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
0,276,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,19,30.4,1.8,0.0,3.2,60,0,211558,0,0
1,276,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-22603,216084,11131,33734
2,276,27,14,0,False,2022-08-22T19:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-86977,128522,696,87673
3,276,36,3,0,True,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-31146,100363,333,31479
4,276,48,15,0,True,2022-08-31T19:00:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-12816,88500,256,13072
5,276,55,8,1,False,2022-09-03T11:30:00Z,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.3,0.0,0.1,59,-1979,89430,4028,6007
0,277,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,50,0,0,0,1,0,0,0,0,0,0,0,8,6.4,16.8,0.0,2.3,55,0,175766,0,0
1,277,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-84255,106427,5763,90018
2,277,27,14,0,False,2022-08-22T19:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-39841,70596,1384,41225
3,277,36,3,0,True,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-15109,57763,928,16037
4,277,48,15,0,True,2022-08-31T19:00:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5981,52723,721,6702
5,277,55,8,0,False,2022-09-03T11:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-4586,48791,838,5424
0,278,4,9,0,False,2022-08-06T11:30:00Z,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1145,0,0
1,278,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-261,966,45,306
2,278,27,14,0,False,2022-08-22T19:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-162,849,30,192
3,278,36,3,0,True,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-96,780,17,113
4,278,48,15,0,True,2022-08-31T19:00:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-45,758,14,59
5,278,55,8,0,False,2022-09-03T11:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-54,722,21,75
0,279,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,50,0,0,0,1,0,0,0,0,0,0,0,4,7.4,4.2,6.0,1.8,80,0,109701,0,0
1,279,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,-17036,111781,5760,22796
2,279,27,14,2,False,2022-08-22T19:00:00Z,2,1,3,90,0,0,0,2,0,0,0,0,0,0,0,12,16.4,15.1,25.0,5.7,80,-2878,116439,26247,29125
3,279,36,3,22,True,2022-08-27T14:00:00Z,9,0,4,68,2,3,1,0,0,0,0,0,0,0,3,81,125.8,49.8,128.0,30.4,80,5406,132781,23967,18561
4,279,48,15,9,True,2022-08-31T19:00:00Z,2,1,5,90,1,0,0,1,0,0,0,0,0,0,3,39,41.4,26.1,83.0,15.1,80,157277,330936,180838,23561
5,279,55,8,1,False,2022-09-03T11:30:00Z,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,6,14.4,11.3,55.0,8.1,81,78712,437647,141909,63197
0,280,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,12,16.4,0.8,2.0,1.9,65,0,1133441,0,0
1,280,16,7,2,True,2022-08-15T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,16,10.2,1.5,2.0,1.4,65,-72994,1291698,32343,105337
2,280,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,90,0,0,0,2,0,0,0,0,0,0,0,14,18.6,1.2,2.0,2.2,65,-87790,1302665,41283,129073
3,280,36,3,12,True,2022-08-27T14:00:00Z,9,0,4,90,1,0,1,0,0,0,0,0,0,0,0,40,48.2,6.8,41.0,9.6,65,-91807,1282506,42094,133901
4,280,48,15,2,True,2022-08-31T19:00:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,15,20.8,12.3,23.0,5.6,65,32186,1383330,74286,42100
5,280,55,8,5,False,2022-09-03T11:30:00Z,0,0,6,90,0,0,1,0,0,0,0,1,0,0,0,25,31.0,2.3,46.0,7.9,65,-17803,1415515,62936,80739
0,281,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,1,0,11,8.2,0.0,0.0,0.8,55,0,1567712,0,0
1,281,16,7,2,True,2022-08-15T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,2,0,12,16.8,0.0,0.0,1.7,55,-90298,1646148,36501,126799
2,281,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,90,0,0,0,2,0,0,0,0,0,2,0,19,23.8,0.0,0.0,2.4,55,-125038,1591356,44231,169269
3,281,36,3,6,True,2022-08-27T14:00:00Z,9,0,4,90,0,0,1,0,0,0,0,0,0,2,0,24,16.2,0.0,0.0,1.6,55,-80378,1568834,52421,132799
4,281,48,15,2,True,2022-08-31T19:00:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,1,0,13,8.8,0.0,0.0,0.9,55,-41734,1568930,38509,80243
5,281,55,8,8,False,2022-09-03T11:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,4,1,29,28.8,0.0,0.0,2.9,55,-62925,1542628,45686,108611
0,282,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,58,0,0,0,1,0,0,0,0,0,0,0,12,9.8,4.3,2.0,1.6,55,0,79661,0,0
1,282,16,7,2,True,2022-08-15T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,18,19.8,18.5,2.0,4.0,55,-5510,94355,10055,15565
2,282,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,31,0,0,0,0,0,0,0,0,0,0,0,4,5.8,0.7,17.0,2.4,55,-1155,106741,15814,16969
3,282,36,3,3,True,2022-08-27T14:00:00Z,9,0,4,90,0,0,1,0,0,0,0,0,0,0,0,14,15.4,16.0,0.0,3.1,55,-12991,101188,8118,21109
4,282,48,15,2,True,2022-08-31T19:00:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,6,2.6,5.9,5.0,1.4,54,-4843,102711,8422,13265
5,282,55,8,2,False,2022-09-03T11:30:00Z,0,0,6,90,0,0,1,0,0,0,0,1,0,0,0,10,12.8,13.6,17.0,4.3,54,-1878,106385,11151,13029
0,283,4,9,12,False,2022-08-06T11:30:00Z,2,2,1,90,1,1,0,2,0,0,0,0,0,0,2,34,39.6,20.0,25.0,8.5,130,0,4848340,0,0
1,283,16,7,2,True,2022-08-15T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,5,18.6,89.7,38.0,14.6,130,133225,5570821,175994,42769
2,283,27,14,8,False,2022-08-22T19:00:00Z,2,1,3,90,1,0,0,2,0,0,0,0,0,0,1,23,44.0,45.1,67.0,15.6,130,-84176,5661806,135020,219196
3,283,36,3,3,True,2022-08-27T14:00:00Z,9,0,4,90,0,0,1,0,0,0,0,0,0,0,0,-5,2.4,28.1,52.0,8.3,130,-19068,5784665,140231,159299
4,283,48,15,10,True,2022-08-31T19:00:00Z,2,1,5,90,0,2,0,1,0,0,0,0,0,0,2,28,44.0,64.3,39.0,14.7,130,-466694,5360861,61038,527732
5,283,55,8,3,False,2022-09-03T11:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,8,14.6,37.3,41.0,9.3,130,-160589,5299328,147858,308447
0,284,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,4,13.2,7.8,8.0,2.9,70,0,1027195,0,0
1,284,16,7,2,True,2022-08-15T19:00:00Z,1,1,2,62,0,0,0,1,0,0,0,0,0,0,0,11,7.0,7.8,22.0,3.7,70,-52378,1040307,37842,90220
2,284,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,84,0,0,0,2,0,0,0,0,0,0,0,12,9.0,32.3,10.0,5.1,69,-182486,879995,37647,220133
3,284,36,3,9,True,2022-08-27T14:00:00Z,9,0,4,68,0,1,1,0,0,0,0,0,0,0,0,31,19.0,19.2,6.0,4.4,69,-105823,798237,38749,144572
